RANK,SONG,ARTIST,YEAR,WEIGHT,SENT,DECADE,LYRICS
1,call me,blondie,1980,100,1,80, color me your color baby color me your car color me your color darling i know who you are come up off your color chart i know where youre comin fromcall me call me on the line call me call me any anytime call me call me my love you can call me any day or night call mecover me with kisses baby cover me with love roll me in designer sheets ill never get enough emotions come i dont know why cover up loves alibicall me call me on the line call me call me any anytime call me call me oh love when youre ready we can share the wine call meoh oh oh oh oh he speaks the languages of love oh oh oh oh oh amore chiamami chiamami oh oh oh oh oh appellemoi mon cherie appellemoi anytime anyplace anywhere any way anytime anyplace anywhere any dayaycall me call me my love call me call me any anytime call me call me for a ride call me call me for some overtime call me call me my love call me call me in a sweet design call me call me call me for your lovers lovers alibi call me call me on the line call me call me any anytime call me call me oh call me oh oh ah call me call me my love call me call me any anytime 
2,another brick in the wall part ii,pink floyd,1980,99,1,80, we dont need no education we dont need no thought control no dark sarcasm in the classroom teacher leave them kids alonehey teacher leave the kids aloneall in all its just another brick in the wall all in all youre just another brick in the wallwe dont need no education we dont need no thought control no dark sarcasm in the classroom teachers leave them kids alonehey teacher leave them kids aloneall in all youre just another brick in the wall all in all youre just another brick in the wall 
3,magic,olivia newtonjohn,1980,98,1,80, come take my hand you should know me ive always been in your mind you know that ill be kind ill be guiding youbuilding your dream has to start now theres no other road to take you wont make a mistake ill be guiding youyou have to believe we are magic nothing can stand in our way you have to believe we are magic dont let your aim ever stray and if all your hopes survive destiny will arrive ill bring all your dreams alive for you ill bring all your dreams alive for youfrom where i stand you are home free the planets align so rare theres promise in the air and im guiding youthrough every turn ill be near you ill come anytime you call ill catch you when you fall ill be guiding youyou have to believe we are magic nothing can stand in our way you have to believe we are magic dont let your aim ever stray and if all your hopes survive destiny will arrive ill bring all your dreams alive for you ill bring all your dreams alive for youyou have to believe we are magic nothing can stand in our way you have to believe we are magic dont let your aim ever stray and if all your hopes survive destiny will arrive ill bring all your dreams alive for you ill bring all your dreams alive for you 
4,rock with you,michael jackson,1980,97,2,80, girl close your eyes let that rhythm get into you dont try to fight it there aint nothing that you can do relax your mind lay back and groove with mine you gotta feel that heat and we can ride the boogie share that beat of lovei want to rock with you all night dance you into day sunlight i want to rock with you all night rock the night awayout on the floor there aint nobody there but us girl when you dance theres a magic that must be love just take it slow cause we got so far to go you gotta feel that heat and we can ride the boogie share that beat of lovei want to rock with you all night dance you into day sunlight i want to rock with you all night rock the night awayand when the groove is dead and gone yeah you know that love survives so we can rock forever oni want to rock with you i want to groove with youi want to rock all night with you girl sunlight rock with you rock with you girl yeah all night dance the night awayi want to rock with you yeah all night rock you into day sunlight i want to rock with you all night rock the night awayfeel the heat feel the heat rock you into day sunlight i want to rockrock the night away 
5,do that to me one more time,captain  tennille,1980,96,2,80,do that to me one more time once is never enough with a man like you do that to me one more time i can never get enough of a man like you oh kiss me like you just did oh baby do that to me once again pass that by me one more time once just isnt enough for my heart to hear whoa tell it to me one more time i can never hear enough while i got ya near oh say those words again that you just did oh baby tell it to me once again do that to me one more time once is never enough with a man like you whoa do that to me one more time i can never get enough of a man like you oh kiss me like you just did oh baby do that to me once again whoa baby do that to me once again whoa baby do that to me one more time do it again one more time do it again one more time do it again one more time do it again one more time do it again one more time do it again one more time
6,crazy little thing called love,queen,1980,95,2,80, this thing called love i just cant handle it this thing called love i must get round to it i aint ready crazy little thing called lovethis thing this thing called love called love it cries like a baby in a cradle all night it swings woo woo it jives woo woo it shakes all over like a jelly fish i kinda like it crazy little thing called lovethere goes my baby she knows how to rock n roll she drives me crazy she gives me hot and cold fever then she leaves me in a cool cool sweati gotta be cool relax get hip and get on my tracks take a back seat hitchhike and take a long ride on my motorbike until im ready crazy little thing called lovei gotta be cool relax get hip and get on my tracks take a back seat ah hum hitchhike ah hum and take a long ride on my motorbike until im ready ready freddie crazy little thing called lovethis thing called love i just cant handle it this thing called love i must get round to it i aint ready ooh ooh ooh oohcrazy little thing called love crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah crazy little thing called love yeah yeah 
7,coming up,paul mccartney,1980,94,1,80, you want a love to last forever one that will never fade away i want to help you with your problem stick around i say its coming up its coming up coming up like a flower coming up yeahyou want a friend you can rely on one who will never fade away i know youre searching for an answer stick around i sayits coming up its coming up coming up only hour coming up yeahyou want a better kind of future one that everyone can share youre not alone we all could use it stick around were nearly thereits coming up its coming up coming up like a flower coming upyou want a love to last forever one that will never fade away id like to help you with your problem stick around pretty baby i say its coming up its coming up its coming up like a flower its coming up pretty baby i wanna saycoming up only hour coming up yeah yeah yeah coming up pretty baby coming up oh you better believe it coming up like a flower coming upcoming up 
8,funkytown,lipps inc,1980,93,2,80, introgotta make a move to a town thats right for me town to keep me movin keep me groovin with some energywell i talk about it talk about it talk about it talk about it talk about talk about talk about movingotta move on gotta move on gotta move onbridgeawont you take me to funkytown wont you take me to funkytown wont you take me to funkytown wont you take me to funkytownbridgewont you take me to funkytown wont you take me to funkytown wont you take me to funkytown wont you take me to funkytownbridgegotta make a move to a town thats right for me town to keep me movin keep me groovin with some energywell i talk about it talk about it talk about it talk about it talk about talk about talk about movingotta move on gotta move on gotta move onbridgeawont you take me to funkytown wont you take me to funkytown wont you take me to funkytown wont you take me to funkytownbridgewont you take me to funkytown wont you take me to funkytown wont you take me to funkytown wont you take me to funkytownwont you take me down to funkytown wont you take me down to funkytown wont you take me down to funkytown wont you take me down to funkytownwont you take me to funkytown wont you take me to funkytown wont you take me to funkytown wont you take me to funkytowntake me wont you take me take me wont you take me take me wont you take me take me wont you take mei wanna go to funkytown i wanna go to funkytown i wanna go to funkytown i wanna go to funkytown 
9,its still rock and roll to me,billy joel,1980,92,2,80, whats the matter with the clothes im wearing cant you tell that your ties too wide maybe i should buy some old tab collars welcome back to the age of jive where have you been hidin out lately honey you cant dress trashy till you spend a lot of money everybodys talkin bout the new sound funny but its still rock and roll to me whats the matter with the car im driving cant you tell that its out of style should i get a set of white wall tires are you gonna cruise a miracle mile nowadays you cant be too sentimental your best bets a true babyblue continental hot funk cool punk even if its old junk its still rock and roll to meoh it doesnt matter what they say in the papers cause its always been the same old scene theres a new band in town but you cant get the sound from a story in a magazine aimed at your average teenhow about a pair of pink sidewinders and a bright orange pair of pants well you could really be a beau brummel baby if you just give it half a chance dont waste your money on a new set of speakers you get more mileage from a cheap pair of sneakers next phase new wave dance craze anyways its still rock and roll to meoh whats the matter with the crowd im seeing dont you know that their out of touch well should i try to be a straighta student if you are then you think too much dont you know about the new fashion honey all you need are looks and a whole lotta money its the next phase new wave dance craze anyways its still rock and roll to me everybodys talkin bout the new sound funny but its still rock and roll to me 
10,the rose,bette midler,1980,91,2,80, some say love it is a river that drowns the tender reed some say love it is a razor that leaves your soul to bleed some say love it is a hunger an endless aching need i say love it is a flower and you its only seedits the heart afraid of breaking that never learns to dance its the dream afraid of waking that never takes the chance its the one who wont be taken who cannot seem to give and the soul afraid of dying that never learns to livewhen the night has been too lonely and the road has been too long and you think that love is only for the lucky and the strong just remember in the winter far beneath the bitter snow lies the seed that with the suns love in the spring becomes the rose 
11,escape the pi~na colada song,rupert holmes,1980,90,1,80,#N/A
12,cars,gary numan,1980,89,1,80, here in my car i feel safest of all i can lock all my doors its the only way to live in carshere in my car i can only receive i can listen to you it keeps me stable for nights in carshere in my car where the image breaks down will you visit me please if i open my door in carshere in my car i know ive started to think about leaving tonight although nothing seems right in cars 
